date,actor,action,data,commits
2007-11-07,project,project_started,""
2007-11-07,committer,started_contributing,scott Chacon
2007-11-07,committer,activity_between,scott Chacon,2008-01-31,81
2007-11-16,project,tag,1.0.3,scott Chacon,"{""scott Chacon"":44}"
2008-03-03,committer,started_contributing,Eric Goodwin
2008-03-03,committer,started_contributing,Scott Chacon
2008-03-03,committer,activity_between,Eric Goodwin,2008-03-05,2
2008-03-03,committer,activity_between,Scott Chacon,2008-05-27,15
2008-03-14,committer,started_contributing,Joshua Peek
2008-03-14,project,tag,1.0.5,Joshua Peek,"{""scott Chacon"":37,""Eric Goodwin"":2,""Scott Chacon"":8,""Joshua Peek"":1}"
2008-03-14,committer,activity_between,Joshua Peek,2008-03-14,1
2008-03-23,project,tag,1.0.5.1,Scott Chacon,"{""Scott Chacon"":1}"
2008-04-30,committer,left_project,scott Chacon,81
2008-05-05,committer,started_contributing,Jorge Bernal
2008-05-05,committer,activity_between,Jorge Bernal,2008-05-07,3
2008-05-09,committer,started_contributing,Michael Siebert
2008-05-09,committer,activity_between,Michael Siebert,2008-05-09,1
2008-05-27,project,tag,v1.0.7,Scott Chacon,"{""Jorge Bernal"":3,""Michael Siebert"":1,""Scott Chacon"":6}"
2008-06-05,committer,left_project,Eric Goodwin,2
2008-06-14,committer,left_project,Joshua Peek,1
2008-07-23,committer,started_contributing,Michael Hale
2008-07-23,committer,activity_between,Michael Hale,2008-07-23,1
2008-07-25,committer,started_contributing,Yuichi Tateno
2008-07-25,committer,activity_between,Yuichi Tateno,2008-07-25,3
2008-08-07,committer,left_project,Jorge Bernal,3
2008-08-09,committer,left_project,Michael Siebert,1
2008-08-13,committer,started_contributing,Ken Pratt
2008-08-13,committer,activity_between,Ken Pratt,2008-08-13,1
2008-08-27,committer,left_project,Scott Chacon,15
2008-10-15,committer,started_contributing,devyn
2008-10-15,committer,activity_between,devyn,2008-10-15,1
2008-10-23,committer,left_project,Michael Hale,1
2008-10-25,committer,left_project,Yuichi Tateno,3
2008-11-02,committer,started_contributing,Scott Chacon
2008-11-02,committer,activity_between,Scott Chacon,2008-11-02,1
2008-11-13,committer,left_project,Ken Pratt,1
2008-12-21,committer,started_contributing,Jonathan Rudenberg
2008-12-21,committer,started_contributing,James Rosen
2008-12-21,committer,activity_between,Jonathan Rudenberg,2008-12-24,2
2008-12-21,committer,activity_between,James Rosen,2008-12-21,4
2009-01-15,committer,left_project,devyn,1
2009-02-02,committer,left_project,Scott Chacon,1
2009-02-07,committer,started_contributing,Daniel Mendler
2009-02-07,committer,activity_between,Daniel Mendler,2009-02-12,8
2009-02-12,committer,started_contributing,elliottcable
2009-02-12,committer,started_contributing,Scott Chacon
2009-02-12,committer,activity_between,elliottcable,2009-02-12,4
2009-02-12,committer,activity_between,Scott Chacon,2009-02-12,4
2009-03-12,committer,started_contributing,Gianni Chiappetta
2009-03-12,committer,activity_between,Gianni Chiappetta,2009-03-17,2
2009-03-21,committer,left_project,James Rosen,4
2009-03-24,committer,left_project,Jonathan Rudenberg,2
2009-04-26,committer,started_contributing,Josh Nichols
2009-04-26,committer,activity_between,Josh Nichols,2009-05-04,3
2009-05-12,committer,left_project,Daniel Mendler,8
2009-05-12,committer,left_project,elliottcable,4
2009-05-12,committer,left_project,Scott Chacon,4
2009-06-17,committer,left_project,Gianni Chiappetta,2
2009-08-01,committer,started_contributing,Joshua Nichols
2009-08-01,project,tag,v1.2.0,Joshua Nichols,"{""Michael Hale"":1,""Yuichi Tateno"":3,""Ken Pratt"":1,""devyn"":1,""Scott Chacon"":5,""Jonathan Rudenberg"":2,""James Rosen"":4,""Daniel Mendler"":8,""elliottcable"":4,""Gianni Chiappetta"":2,""Josh Nichols"":3,""Joshua Nichols"":5}"
2009-08-01,project,tag,v1.2.1,Joshua Nichols,"{""Joshua Nichols"":3}"
2009-08-01,committer,activity_between,Joshua Nichols,2009-10-17,20
2009-08-02,project,tag,v1.2.2,Joshua Nichols,"{""Joshua Nichols"":3}"
2009-08-04,committer,left_project,Josh Nichols,3
2009-08-10,committer,started_contributing,schacon
2009-08-10,committer,activity_between,schacon,2009-08-10,1
2009-09-30,project,tag,v1.2.3,Joshua Nichols,"{""Joshua Nichols"":5,""schacon"":1}"
2009-10-01,committer,started_contributing,Zachery Hostens
2009-10-01,project,tag,v1.2.4,Joshua Nichols,"{""Zachery Hostens"":1,""Joshua Nichols"":2}"
2009-10-01,committer,activity_between,Zachery Hostens,2009-10-01,1
2009-10-13,committer,started_contributing,Bryan Larsen
2009-10-13,committer,activity_between,Bryan Larsen,2009-10-13,1
2009-10-17,project,tag,v1.2.5,Joshua Nichols,"{""Bryan Larsen"":1,""Joshua Nichols"":2}"
2009-11-10,committer,left_project,schacon,1
2010-01-01,committer,left_project,Zachery Hostens,1
2010-01-13,committer,left_project,Bryan Larsen,1
2010-01-17,committer,left_project,Joshua Nichols,20
2010-04-17,project,project_idle,"{""scott Chacon"":81,""Eric Goodwin"":2,""Scott Chacon"":20,""Joshua Peek"":1,""Jorge Bernal"":3,""Michael Siebert"":1,""Michael Hale"":1,""Yuichi Tateno"":3,""Ken Pratt"":1,""devyn"":1,""Jonathan Rudenberg"":2,""James Rosen"":4,""Daniel Mendler"":8,""elliottcable"":4,""Gianni Chiappetta"":2,""Josh Nichols"":3,""Joshua Nichols"":20,""schacon"":1,""Zachery Hostens"":1,""Bryan Larsen"":1}",160
2011-08-22,project,project_active,""
2011-08-22,committer,started_contributing,Nathan Fixler
2011-08-22,committer,activity_between,Nathan Fixler,2011-08-22,1
2011-09-02,committer,started_contributing,Josh Nichols
2011-09-02,committer,activity_between,Josh Nichols,2011-09-02,1
2011-10-19,committer,started_contributing,schneems
2011-10-19,committer,activity_between,schneems,2011-10-19,1
2011-11-22,committer,left_project,Nathan Fixler,1
2011-12-02,committer,left_project,Josh Nichols,1
2011-12-09,committer,started_contributing,Steve Schwartz
2011-12-09,committer,activity_between,Steve Schwartz,2011-12-09,1
2012-01-19,committer,left_project,schneems,1
2012-03-09,committer,left_project,Steve Schwartz,1
2012-03-21,committer,started_contributing,Gabriel Cardoso
2012-03-21,committer,activity_between,Gabriel Cardoso,2012-03-21,1
2012-04-17,committer,started_contributing,Chad Rosen
2012-04-17,committer,activity_between,Chad Rosen,2012-04-17,1
2012-06-21,committer,left_project,Gabriel Cardoso,1
2012-07-17,committer,left_project,Chad Rosen,1
2012-10-17,project,project_idle,"{""Nathan Fixler"":1,""Josh Nichols"":1,""schneems"":1,""Steve Schwartz"":1,""Gabriel Cardoso"":1,""Chad Rosen"":1}",6
2013-01-19,project,project_active,""
2013-01-19,committer,started_contributing,TIT
2013-01-19,committer,activity_between,TIT,2013-01-19,1
2013-04-03,committer,started_contributing,Roberto Decurnex
2013-04-03,committer,activity_between,Roberto Decurnex,2013-04-29,4
2013-04-10,committer,started_contributing,robertodecurnex
2013-04-10,committer,activity_between,robertodecurnex,2013-08-17,54
2013-04-19,committer,left_project,TIT,1
2013-04-29,committer,started_contributing,Joe Moore
2013-04-29,committer,activity_between,Joe Moore,2013-04-29,2
2013-05-23,committer,started_contributing,Michael Mallete
2013-05-23,committer,activity_between,Michael Mallete,2013-05-24,3
2013-06-14,committer,started_contributing,TJ Biddle
2013-06-14,committer,activity_between,TJ Biddle,2013-06-14,1
2013-07-29,committer,left_project,Roberto Decurnex,4
2013-07-29,committer,left_project,Joe Moore,2
2013-08-17,project,tag,v1.2.6,robertodecurnex,"{""Nathan Fixler"":1,""Josh Nichols"":1,""schneems"":1,""Steve Schwartz"":1,""Gabriel Cardoso"":1,""Chad Rosen"":1,""TIT"":1,""Roberto Decurnex"":4,""robertodecurnex"":54,""Joe Moore"":2,""Michael Mallete"":3,""TJ Biddle"":1}"
2013-08-24,committer,left_project,Michael Mallete,3
2013-08-30,committer,started_contributing,Roberto Decurnex
2013-08-30,committer,activity_between,Roberto Decurnex,2013-08-30,2
2013-09-12,committer,started_contributing,OHTAKE Tomohiro
2013-09-12,committer,activity_between,OHTAKE Tomohiro,2013-09-12,1
2013-09-14,committer,left_project,TJ Biddle,1
2013-11-17,committer,left_project,robertodecurnex,54
2013-11-30,committer,left_project,Roberto Decurnex,2
2013-12-05,committer,started_contributing,David Underwood
2013-12-05,committer,activity_between,David Underwood,2013-12-05,1
2013-12-12,committer,left_project,OHTAKE Tomohiro,1
2013-12-16,committer,started_contributing,Andy Schrage
2013-12-16,committer,activity_between,Andy Schrage,2013-12-16,1
2014-01-06,committer,started_contributing,Cameron Walsh
2014-01-06,committer,activity_between,Cameron Walsh,2014-01-28,2
2014-01-13,committer,started_contributing,Roberto Decurnex
2014-01-13,committer,started_contributing,robertodecurnex
2014-01-13,committer,activity_between,Roberto Decurnex,2014-01-29,6
2014-01-13,committer,activity_between,robertodecurnex,2014-02-05,21
2014-01-28,committer,started_contributing,Ben Sedat
2014-01-28,committer,activity_between,Ben Sedat,2014-01-28,1
2014-02-08,committer,started_contributing,Arnvald
2014-02-08,committer,activity_between,Arnvald,2014-02-08,1
2014-03-05,committer,left_project,David Underwood,1
2014-03-16,committer,left_project,Andy Schrage,1
2014-04-28,committer,left_project,Cameron Walsh,2
2014-04-28,committer,left_project,Ben Sedat,1
2014-04-29,committer,left_project,Roberto Decurnex,6
2014-05-05,committer,left_project,robertodecurnex,21
2014-05-08,committer,left_project,Arnvald,1
2014-05-21,committer,started_contributing,Guy Hughes
2014-05-21,committer,activity_between,Guy Hughes,2014-05-21,1
2014-06-04,committer,started_contributing,Roberto Decurnex
2014-06-04,committer,activity_between,Roberto Decurnex,2015-01-21,54
2014-06-09,committer,started_contributing,robertodecurnex
2014-06-09,project,tag,v1.2.7,robertodecurnex,"{""Roberto Decurnex"":9,""OHTAKE Tomohiro"":1,""David Underwood"":1,""Andy Schrage"":1,""Cameron Walsh"":2,""robertodecurnex"":22,""Ben Sedat"":1,""Arnvald"":1,""Guy Hughes"":1}"
2014-06-09,committer,activity_between,robertodecurnex,2014-06-25,3
2014-07-08,committer,started_contributing,Yuya.Nishida
2014-07-08,committer,activity_between,Yuya.Nishida,2014-07-08,2
2014-07-21,committer,started_contributing,Xavier Calland
2014-07-21,committer,activity_between,Xavier Calland,2014-07-21,1
2014-07-31,project,tag,v1.2.8,Roberto Decurnex,"{""robertodecurnex"":2,""Yuya.Nishida"":2,""Roberto Decurnex"":3,""Xavier Calland"":1}"
2014-08-06,committer,started_contributing,Kelly Stannard
2014-08-06,committer,activity_between,Kelly Stannard,2014-08-07,4
2014-08-21,committer,left_project,Guy Hughes,1
2014-09-25,committer,left_project,robertodecurnex,3
2014-09-26,committer,started_contributing,Francis Luong (Franco)
2014-09-26,committer,activity_between,Francis Luong (Franco),2014-09-26,1
2014-10-08,committer,left_project,Yuya.Nishida,2
2014-10-21,committer,left_project,Xavier Calland,1
2014-10-22,committer,started_contributing,mwrock
2014-10-22,committer,activity_between,mwrock,2014-10-22,1
2014-11-07,committer,left_project,Kelly Stannard,4
2014-11-20,committer,started_contributing,Brian Stevens
2014-11-20,committer,activity_between,Brian Stevens,2014-11-20,1
2014-11-25,committer,started_contributing,Adam Hooper
2014-11-25,committer,activity_between,Adam Hooper,2014-11-25,1
2014-12-26,committer,left_project,Francis Luong (Franco),1
2015-01-02,committer,started_contributing,Dave Lane
2015-01-02,committer,activity_between,Dave Lane,2015-01-02,1
2015-01-12,committer,started_contributing,Harald Sitter
2015-01-12,project,tag,v1.2.9,Roberto Decurnex,"{""Kelly Stannard"":4,""Francis Luong (Franco)"":1,""Roberto Decurnex"":46,""mwrock"":1,""Brian Stevens"":1,""Adam Hooper"":1,""Dave Lane"":1,""Harald Sitter"":1}"
2015-01-12,committer,activity_between,Harald Sitter,2015-01-12,1
2015-01-13,committer,started_contributing,Eric Tsiliacos
2015-01-13,committer,activity_between,Eric Tsiliacos,2015-01-13,1
2015-01-15,project,tag,v1.2.9.1,Roberto Decurnex,"{""Roberto Decurnex"":3,""Eric Tsiliacos"":1}"
2015-01-22,committer,left_project,mwrock,1
2015-02-20,committer,left_project,Brian Stevens,1
2015-02-25,committer,left_project,Adam Hooper,1
2015-04-02,committer,left_project,Dave Lane,1
2015-04-12,committer,left_project,Harald Sitter,1
2015-04-13,committer,left_project,Eric Tsiliacos,1
2015-04-21,committer,left_project,Roberto Decurnex,54
2015-07-21,project,project_idle,"{""TIT"":1,""Roberto Decurnex"":66,""robertodecurnex"":78,""Joe Moore"":2,""Michael Mallete"":3,""TJ Biddle"":1,""OHTAKE Tomohiro"":1,""David Underwood"":1,""Andy Schrage"":1,""Cameron Walsh"":2,""Ben Sedat"":1,""Arnvald"":1,""Guy Hughes"":1,""Yuya.Nishida"":2,""Xavier Calland"":1,""Kelly Stannard"":4,""Francis Luong (Franco)"":1,""mwrock"":1,""Brian Stevens"":1,""Adam Hooper"":1,""Dave Lane"":1,""Harald Sitter"":1,""Eric Tsiliacos"":1}",173
2015-10-14,project,project_active,""
2015-10-14,committer,started_contributing,Christian Paling
2015-10-14,committer,activity_between,Christian Paling,2015-10-14,1
2016-01-14,committer,left_project,Christian Paling,1
2016-02-16,committer,started_contributing,Roberto Decurnex
2016-02-16,committer,started_contributing,David Vartanian
2016-02-16,committer,activity_between,Roberto Decurnex,2016-02-25,11
2016-02-16,committer,activity_between,David Vartanian,2016-02-16,1
2016-02-25,project,tag,v1.2.10,Roberto Decurnex,"{""Roberto Decurnex"":10,""Christian Paling"":1,""David Vartanian"":1}"
2016-02-25,project,tag,v1.3.0,Roberto Decurnex,"{""Roberto Decurnex"":2}"
2016-05-16,committer,left_project,David Vartanian,1
2016-05-25,committer,left_project,Roberto Decurnex,11
2016-08-25,project,project_idle,"{""Christian Paling"":1,""Roberto Decurnex"":11,""David Vartanian"":1}",13
2018-01-10,project,project_active,""
2018-01-10,committer,started_contributing,Per Lundberg
2018-01-10,committer,activity_between,Per Lundberg,2018-08-10,8
2018-03-07,committer,started_contributing,Vern Burton
2018-03-07,committer,activity_between,Vern Burton,2018-08-21,5
2018-03-28,committer,started_contributing,Rafael Reggiani Manzo
2018-03-28,committer,activity_between,Rafael Reggiani Manzo,2018-03-28,1
2018-03-31,committer,started_contributing,Richard Vodden
2018-03-31,committer,activity_between,Richard Vodden,2018-03-31,1
2018-04-30,committer,started_contributing,Alexander Maslov
2018-04-30,committer,activity_between,Alexander Maslov,2018-04-30,1
2018-05-03,committer,started_contributing,Guilherme Maluf Balzana
2018-05-03,committer,started_contributing,Tom Potts
2018-05-03,committer,activity_between,Guilherme Maluf Balzana,2018-05-03,1
2018-05-03,committer,activity_between,Tom Potts,2018-05-03,1
2018-05-16,project,tag,v1.4.0,Per Lundberg,"{""Per Lundberg"":6,""Vern Burton"":1,""Rafael Reggiani Manzo"":1,""Richard Vodden"":1,""Alexander Maslov"":1,""Guilherme Maluf Balzana"":1,""Tom Potts"":1}"
2018-06-20,committer,started_contributing,Denis Defreyne
2018-06-20,committer,activity_between,Denis Defreyne,2018-06-20,1
2018-06-25,committer,started_contributing,Joshua Liebowitz
2018-06-25,committer,activity_between,Joshua Liebowitz,2018-06-25,2
2018-06-26,committer,started_contributing,Taichiro Suzuki
2018-06-26,committer,activity_between,Taichiro Suzuki,2018-06-26,1
2018-06-28,committer,left_project,Rafael Reggiani Manzo,1
2018-06-30,committer,left_project,Richard Vodden,1
2018-07-12,committer,started_contributing,Kelly Stannard
2018-07-12,committer,started_contributing,Matias Garcia Isaia
2018-07-12,committer,activity_between,Kelly Stannard,2018-07-12,1
2018-07-12,committer,activity_between,Matias Garcia Isaia,2018-07-12,1
2018-07-28,committer,started_contributing,Kody
2018-07-28,committer,activity_between,Kody,2018-07-28,1
2018-07-30,committer,left_project,Alexander Maslov,1
2018-08-03,committer,left_project,Guilherme Maluf Balzana,1
2018-08-03,committer,left_project,Tom Potts,1
2018-08-10,project,tag,v1.5.0,Per Lundberg,"{""Vern Burton"":3,""Denis Defreyne"":1,""Joshua Liebowitz"":2,""Taichiro Suzuki"":1,""Per Lundberg"":2,""Kelly Stannard"":1,""Matias Garcia Isaia"":1,""Kody"":1}"
2018-08-24,committer,started_contributing,Stephen Paul Weber
2018-08-24,committer,activity_between,Stephen Paul Weber,2018-08-24,1
2018-09-20,committer,left_project,Denis Defreyne,1
2018-09-25,committer,left_project,Joshua Liebowitz,2
2018-09-26,committer,left_project,Taichiro Suzuki,1
2018-10-02,committer,started_contributing,Evgenii Pecherkin
2018-10-02,committer,activity_between,Evgenii Pecherkin,2018-10-02,1
2018-10-12,committer,left_project,Kelly Stannard,1
2018-10-12,committer,left_project,Matias Garcia Isaia,1
2018-10-28,committer,left_project,Kody,1
2018-11-10,committer,left_project,Per Lundberg,8
2018-11-21,committer,left_project,Vern Burton,5
2018-11-24,committer,left_project,Stephen Paul Weber,1
2019-01-02,committer,left_project,Evgenii Pecherkin,1
2019-02-17,committer,started_contributing,James Couball
2019-02-17,committer,activity_between,James Couball,2019-02-17,1
2019-05-17,committer,left_project,James Couball,1
2019-08-17,project,project_idle,"{""Per Lundberg"":8,""Vern Burton"":5,""Rafael Reggiani Manzo"":1,""Richard Vodden"":1,""Alexander Maslov"":1,""Guilherme Maluf Balzana"":1,""Tom Potts"":1,""Denis Defreyne"":1,""Joshua Liebowitz"":2,""Taichiro Suzuki"":1,""Kelly Stannard"":1,""Matias Garcia Isaia"":1,""Kody"":1,""Stephen Paul Weber"":1,""Evgenii Pecherkin"":1,""James Couball"":1}",28
2019-09-20,project,project_active,""
2019-09-20,committer,started_contributing,Salim Afiune
2019-09-20,committer,activity_between,Salim Afiune,2019-09-20,1
2019-12-11,committer,started_contributing,James Couball
2019-12-11,committer,activity_between,James Couball,2020-02-02,6
2019-12-20,committer,left_project,Salim Afiune,1
2020-01-20,committer,started_contributing,Per Lundberg
2020-01-20,committer,activity_between,Per Lundberg,2020-01-20,1
2020-01-22,committer,started_contributing,cyclotron3k
2020-01-22,committer,activity_between,cyclotron3k,2020-01-22,1
2020-02-02,project,tag,v1.6.0,James Couball,"{""Vern Burton"":1,""Stephen Paul Weber"":1,""Evgenii Pecherkin"":1,""James Couball"":7,""Salim Afiune"":1,""Per Lundberg"":1,""cyclotron3k"":1}"
2020-02-04,committer,started_contributing,Yuta Harima
2020-02-04,committer,activity_between,Yuta Harima,2020-02-05,2
2020-02-06,committer,started_contributing,Harald
2020-02-06,committer,activity_between,Harald,2020-02-06,1
2020-02-10,committer,started_contributing,Marcel Hoyer
2020-02-10,committer,activity_between,Marcel Hoyer,2020-02-10,1
2020-02-10,project,last_data,"{""James Couball"":6,""Per Lundberg"":1,""cyclotron3k"":1,""Yuta Harima"":2,""Harald"":1,""Marcel Hoyer"":1}",13
